"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 28 22:00:53 GMT 2024","Sat Dec 28 22:00:53 GMT 2024","12","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","addSimpleWorkflowStep_shouldThrowExceptionWhenValidationFails()",""
"passed","Sat Dec 28 22:00:38 GMT 2024","Sat Dec 28 22:00:38 GMT 2024","65","","de.lenneflow.functionservice.controller.FunctionControllerTest","","de.lenneflow.functionservice.controller.FunctionControllerTest","","updateFunction_shouldUpdateAndReturnFunction()",""
"passed","Sat Dec 28 22:00:50 GMT 2024","Sat Dec 28 22:00:50 GMT 2024","47","","de.lenneflow.workerservice.controller.PingControllerTest","","de.lenneflow.workerservice.controller.PingControllerTest","","checkService_shouldReturnWelcomeMessage()",""
"passed","Sat Dec 28 22:00:53 GMT 2024","Sat Dec 28 22:00:53 GMT 2024","16","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","processFunctionDtoFromQueue_shouldHandleFailedRequest()",""
"passed","Sat Dec 28 22:00:51 GMT 2024","Sat Dec 28 22:00:51 GMT 2024","9","","de.lenneflow.workerservice.repository.AccessTokenRepositoryTest","","de.lenneflow.workerservice.repository.AccessTokenRepositoryTest","","findById_shouldReturnAccessTokenWhenIdExists()",""
"passed","Sat Dec 28 22:00:44 GMT 2024","Sat Dec 28 22:00:44 GMT 2024","4","","de.lenneflow.functionservice.util.YamlEditorTest","","de.lenneflow.functionservice.util.YamlEditorTest","","createResourcesRequestMap_shouldCreateCorrectRequestMap()",""
"passed","Sat Dec 28 22:00:52 GMT 2024","Sat Dec 28 22:00:52 GMT 2024","213","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","setFailureReason_setsFailureReasonForWorkflowInstance()",""
"passed","Sat Dec 28 22:00:38 GMT 2024","Sat Dec 28 22:00:38 GMT 2024","17","","de.lenneflow.functionservice.controller.FunctionControllerTest","","de.lenneflow.functionservice.controller.FunctionControllerTest","","addFunction_shouldThrowExceptionWhenValidationFails()",""
"passed","Sat Dec 28 22:00:38 GMT 2024","Sat Dec 28 22:00:38 GMT 2024","17","","de.lenneflow.functionservice.controller.FunctionControllerTest","","de.lenneflow.functionservice.controller.FunctionControllerTest","","deployFunction_shouldDeployFunctionWhenIdExists()",""
"passed","Sat Dec 28 22:00:54 GMT 2024","Sat Dec 28 22:00:54 GMT 2024","19","","de.lenneflow.orchestrationservice.utils.ExpressionEvaluatorTests","","de.lenneflow.orchestrationservice.utils.ExpressionEvaluatorTests","","normalizeInputData_withNestedExpressions_replacesWithValues()",""
