"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","1","","de.lenneflow.orchestrationservice.utils.ObjectMapperTest","","de.lenneflow.orchestrationservice.utils.ObjectMapperTest","","mapToGlobalInputData_returnsCorrectGlobalInputData()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","9","","de.lenneflow.functionservice.util.ValidatorTest","","de.lenneflow.functionservice.util.ValidatorTest","","validateFunctionDTO_shouldThrowExceptionWhenNameIsNull()",""
"passed","Sun Dec 29 23:34:09 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","5127","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","startWorkflowGet2_shouldThrowExceptionWhenWorkflowNotFound()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","2","","de.lenneflow.workflowservice.util.ObjectMapperTest","","de.lenneflow.workflowservice.util.ObjectMapperTest","","mapToWorkflowStep_shouldHandleNullSubWorkflowStep()",""
"passed","Sun Dec 29 23:34:15 GMT 2024","Sun Dec 29 23:34:15 GMT 2024","50","","de.lenneflow.orchestrationservice.feignclients.FunctionServiceClientTest","","de.lenneflow.orchestrationservice.feignclients.FunctionServiceClientTest","","deployFunction_shouldDeployFunction()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","8","","de.lenneflow.functionservice.util.ValidatorTest","","de.lenneflow.functionservice.util.ValidatorTest","","validateFunctionDTO_shouldThrowExceptionWhenPackageRepositoryIsNull()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","7","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","addWhileWorkflowStep_shouldThrowExceptionWhenValidationFails()",""
"passed","Sun Dec 29 23:34:09 GMT 2024","Sun Dec 29 23:34:09 GMT 2024","7","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","startWorkflowGet_shouldThrowExceptionWhenWorkflowNotFound()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","2","","de.lenneflow.workflowservice.util.ValidatorTest","","de.lenneflow.workflowservice.util.ValidatorTest","","validateWorkflow_shouldThrowExceptionWhenNameAlreadyExists()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","23","","de.lenneflow.orchestrationservice.feignclients.WorkflowServiceClientTest","","de.lenneflow.orchestrationservice.feignclients.WorkflowServiceClientTest","","getWorkflowStepByNameAndWorkflowId_shouldReturnWorkflowStep()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","5","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","publishRunStateChange_sendsRunNotification()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","8","","de.lenneflow.workflowservice.util.ValidatorTest","","de.lenneflow.workflowservice.util.ValidatorTest","","validateWorkflowStep_shouldThrowExceptionWhenWorkflowDoesNotExist()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","9","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","getCurrentExecutionState_shouldReturnCurrentState()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","48","","de.lenneflow.accountservice.controller.AccountControllerTests","","de.lenneflow.accountservice.controller.AccountControllerTests","","login_returnsLoginResponse_whenCredentialsAreValid()",""
"passed","Sun Dec 29 23:34:09 GMT 2024","Sun Dec 29 23:34:09 GMT 2024","38","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","pauseWorkflow_shouldPauseWorkflow()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","2","","de.lenneflow.functionservice.util.ValidatorTest","","de.lenneflow.functionservice.util.ValidatorTest","","validateFunction_shouldThrowExceptionWhenUidIsNull()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","10","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","findByUid_shouldReturnNullWhenUidDoesNotExist()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","9","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","updateSubWorkflowStep_shouldUpdateAndReturnWorkflowStep()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","1","","de.lenneflow.orchestrationservice.repository.GlobalInputDataRepositoryTest","","de.lenneflow.orchestrationservice.repository.GlobalInputDataRepositoryTest","","findByUid_returnsNull_whenUidDoesNotExist()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:20 GMT 2024","2064","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","getCluster_shouldReturnNullWhenNotFound()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","2","","de.lenneflow.functionservice.util.ValidatorTest","","de.lenneflow.functionservice.util.ValidatorTest","","validateFunctionDTO_shouldThrowExceptionWhenMemoryRequestIsInvalid()",""
"passed","Sun Dec 29 23:34:08 GMT 2024","Sun Dec 29 23:34:08 GMT 2024","30","","de.lenneflow.functionservice.controller.FunctionControllerTest","","de.lenneflow.functionservice.controller.FunctionControllerTest","","deleteFunction_shouldDeleteFunctionWhenIdExists()",""
"passed","Sun Dec 29 23:34:08 GMT 2024","Sun Dec 29 23:34:08 GMT 2024","69","","de.lenneflow.workflowservice.controller.WorkflowControllerTest","","de.lenneflow.workflowservice.controller.WorkflowControllerTest","","deleteWorkflow_shouldDeleteWorkflowAndSteps()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","5","","de.lenneflow.functionservice.util.ObjectMapperTest","","de.lenneflow.functionservice.util.ObjectMapperTest","","mapToFunction_shouldMapAllFieldsCorrectly()",""
"passed","Sun Dec 29 23:34:23 GMT 2024","Sun Dec 29 23:34:23 GMT 2024","2","","de.lenneflow.workerservice.util.ValidatorTest","","de.lenneflow.workerservice.util.ValidatorTest","","validateLocalClusterDTO_shouldThrowExceptionWhenAccessTokenUidIsInvalid()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:14 GMT 2024","3","","de.lenneflow.functionservice.util.ObjectMapperTest","","de.lenneflow.functionservice.util.ObjectMapperTest","","mapToFunction_shouldHandleNullFields()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","7","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","getStepByNameAndWorkflowId_shouldReturnNullWhenNotFound()",""
"passed","Sun Dec 29 23:34:23 GMT 2024","Sun Dec 29 23:34:23 GMT 2024","0","","de.lenneflow.workerservice.util.UtilTest","","de.lenneflow.workerservice.util.UtilTest","","pause_shouldHandleInterruptedException()",""
"passed","Sun Dec 29 23:34:14 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","2473","","de.lenneflow.workflowservice.repository.JsonSchemaRepositoryTest","","de.lenneflow.workflowservice.repository.JsonSchemaRepositoryTest","","findAll_shouldReturnAllJsonSchemas()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","5","","de.lenneflow.workflowservice.repository.WorkflowStepRepositoryTest","","de.lenneflow.workflowservice.repository.WorkflowStepRepositoryTest","","findByNameAndWorkflowUid_shouldReturnWorkflowStep()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","1","","de.lenneflow.orchestrationservice.repository.WorkflowStepInstanceRepositoryTest","","de.lenneflow.orchestrationservice.repository.WorkflowStepInstanceRepositoryTest","","findByUid_returnsNull_whenUidIsEmpty()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","1","","de.lenneflow.orchestrationservice.repository.WorkflowInstanceRepositoryTest","","de.lenneflow.orchestrationservice.repository.WorkflowInstanceRepositoryTest","","findByUid_returnsWorkflowInstance_whenUidExists()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","23","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","addFunctionDtoToQueue_logsErrorOnException()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","1","","de.lenneflow.orchestrationservice.utils.ObjectMapperTest","","de.lenneflow.orchestrationservice.utils.ObjectMapperTest","","mapFunctionQueueElement_handlesNullFunctionType()",""
"passed","Sun Dec 29 23:34:08 GMT 2024","Sun Dec 29 23:34:08 GMT 2024","18","","de.lenneflow.workflowservice.controller.WorkflowControllerTest","","de.lenneflow.workflowservice.controller.WorkflowControllerTest","","getWorkflowByName_shouldReturnNullWhenNotFound()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","12","","de.lenneflow.functionservice.feignclients.WorkerServiceClientTest","","de.lenneflow.functionservice.feignclients.WorkerServiceClientTest","","getK8sConnectionToken_shouldReturnAccessToken()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","21","","de.lenneflow.workflowservice.util.ValidatorTest","","de.lenneflow.workflowservice.util.ValidatorTest","","validateWorkflowStep_shouldThrowExceptionWhenExecutionOrderIsZero()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","2","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","updateOutputData_updatesWorkflowInstanceOutputData()",""
"passed","Sun Dec 29 23:34:15 GMT 2024","Sun Dec 29 23:34:15 GMT 2024","3","","de.lenneflow.callbackservice.util.UtilTest","","de.lenneflow.callbackservice.util.UtilTest","","deserializeResultQueueElement_shouldThrowExceptionWhenSerializedResultQueueElementIsNull()",""
"passed","Sun Dec 29 23:34:21 GMT 2024","Sun Dec 29 23:34:21 GMT 2024","1","","de.lenneflow.accountservice.util.ValidatorTest","","de.lenneflow.accountservice.util.ValidatorTest","","validateThrowsExceptionWhenPayloadIsNull()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","940","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.QueueControllerTest","","addElementToResultQueue_logsErrorOnException()",""
"passed","Sun Dec 29 23:34:17 GMT 2024","Sun Dec 29 23:34:17 GMT 2024","21","","de.lenneflow.orchestrationservice.helpercomponents.QueueListenerTest","","de.lenneflow.orchestrationservice.helpercomponents.QueueListenerTest","","queueListener_logsErrorOnException()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","24","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","findByName_shouldReturnNullWhenNameDoesNotExist()",""
"passed","Sun Dec 29 23:34:18 GMT 2024","Sun Dec 29 23:34:18 GMT 2024","53","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","de.lenneflow.orchestrationservice.helpercomponents.WorkflowRunnerTest","","startWorkflow_shouldDeployFunctionsFirst()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","184","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","setFailureReason_setsFailureReasonForWorkflowInstance()",""
"passed","Sun Dec 29 23:34:16 GMT 2024","Sun Dec 29 23:34:16 GMT 2024","4","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","de.lenneflow.orchestrationservice.helpercomponents.InstanceControllerTest","","setStartTime_setsStartTimeForWorkflowStepInstance()",""
"passed","Sun Dec 29 23:34:13 GMT 2024","Sun Dec 29 23:34:13 GMT 2024","21","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","de.lenneflow.workflowservice.controller.WorkflowStepControllerTest","","updateSimpleWorkflowStep_shouldUpdateAndReturnWorkflowStep()",""
