"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 30 01:52:31 GMT 2024","Mon Dec 30 01:52:31 GMT 2024","1","","de.lenneflow.workerservice.util.ValidatorTest","","de.lenneflow.workerservice.util.ValidatorTest","","validateLocalClusterDTO_shouldThrowExceptionWhenClusterNameIsNull()",""
"passed","Mon Dec 30 01:52:23 GMT 2024","Mon Dec 30 01:52:23 GMT 2024","6","","de.lenneflow.workflowservice.repository.WorkflowRepositoryTest","","de.lenneflow.workflowservice.repository.WorkflowRepositoryTest","","findByName_shouldReturnWorkflow()",""
"passed","Mon Dec 30 01:52:21 GMT 2024","Mon Dec 30 01:52:21 GMT 2024","3","","de.lenneflow.orchestrationservice.controller.PingControllerTest","","de.lenneflow.orchestrationservice.controller.PingControllerTest","","checkFeign_shouldHandleEmptyResponse()",""
"passed","Mon Dec 30 01:52:15 GMT 2024","Mon Dec 30 01:52:15 GMT 2024","6","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","de.lenneflow.orchestrationservice.controller.OrchestrationControllerTest","","updateGlobalInputData_shouldUpdateGlobalInputData()",""
"passed","Mon Dec 30 01:52:23 GMT 2024","Mon Dec 30 01:52:23 GMT 2024","3","","de.lenneflow.workflowservice.repository.WorkflowStepRepositoryTest","","de.lenneflow.workflowservice.repository.WorkflowStepRepositoryTest","","findByNameAndWorkflowUid_shouldReturnWorkflowStep()",""
"passed","Mon Dec 30 01:52:29 GMT 2024","Mon Dec 30 01:52:29 GMT 2024","4","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","de.lenneflow.functionservice.repository.FunctionRepositoryTest","","findByName_shouldReturnFunctionWhenNameExists()",""
"passed","Mon Dec 30 01:52:31 GMT 2024","Mon Dec 30 01:52:31 GMT 2024","2","","de.lenneflow.workerservice.util.ValidatorTest","","de.lenneflow.workerservice.util.ValidatorTest","","validateKubernetesCluster_shouldThrowExceptionWhenClusterExists()",""
"passed","Mon Dec 30 01:52:23 GMT 2024","Mon Dec 30 01:52:23 GMT 2024","5","","de.lenneflow.workflowservice.util.ValidatorTest","","de.lenneflow.workflowservice.util.ValidatorTest","","validateWorkflowStep_shouldThrowExceptionWhenStepNameAlreadyExists()",""
"passed","Mon Dec 30 01:52:23 GMT 2024","Mon Dec 30 01:52:23 GMT 2024","6","","de.lenneflow.workflowservice.util.ValidatorTest","","de.lenneflow.workflowservice.util.ValidatorTest","","validateWorkflowStep_shouldThrowExceptionWhenWorkflowDoesNotExist()",""
"passed","Mon Dec 30 01:52:25 GMT 2024","Mon Dec 30 01:52:25 GMT 2024","4","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","getCluster_shouldReturnKubernetesCluster()",""
"passed","Mon Dec 30 01:52:25 GMT 2024","Mon Dec 30 01:52:25 GMT 2024","11","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","de.lenneflow.workerservice.component.CloudClusterControllerTest","","deleteCluster_shouldReturnHttpStatusOk()",""
"passed","Mon Dec 30 01:52:31 GMT 2024","Mon Dec 30 01:52:31 GMT 2024","1","","de.lenneflow.workerservice.repository.AccessTokenRepositoryTest","","de.lenneflow.workerservice.repository.AccessTokenRepositoryTest","","findByUid_shouldReturnAccessTokenWhenUidExists()",""
